가게 이름,1,인원 수,2,인원 수,3,인원 수,4,인원 수,5,인원 수,6,인원 수,7,인원 수,8,인원 수,9,인원 수,10,인원 수,
이대조뼈다귀,음식이 맛있어요,458,매장이 넓어요,142,양이 많아요,111,친절해요,89,가성비가 좋아요,82,혼밥하기 좋아요,79,단체모임 하기 좋아요,57,재료가 신선해요,54,매장이 청결해요,32,주차하기 편해요,19,https://m.place.naver.com/restaurant/13027489/review/visitor
21세기우리바다수산,음식이 맛있어요,198,재료가 신선해요,109,친절해요,80,매장이 넓어요,55,가성비가 좋아요,54,단체모임 하기 좋아요,47,양이 많아요,34,특별한 메뉴가 있어요,23,매장이 청결해요,17,주차하기 편해요,13,https://m.place.naver.com/restaurant/1217027261/review/visitor
도마 홍대본점,음식이 맛있어요,118,친절해요,47,재료가 신선해요,42,특별한 메뉴가 있어요,27,가성비가 좋아요,16,매장이 청결해요,14,특별한 날 가기 좋아요,11,양이 많아요,10,매장이 넓어요,7,고기 질이 좋아요,5,https://m.place.naver.com/restaurant/13291366/review/visitor
김덕후의곱창조 홍대본점,음식이 맛있어요,109,친절해요,69,가성비가 좋아요,60,양이 많아요,26,재료가 신선해요,16,특별한 메뉴가 있어요,14,매장이 청결해요,11,특별한 날 가기 좋아요,6,인테리어가 멋져요,5,고기 질이 좋아요,5,https://m.place.naver.com/restaurant/32779391/review/visitor
좋아해닭발,음식이 맛있어요,682,친절해요,473,양이 많아요,314,매장이 넓어요,193,가성비가 좋아요,189,매장이 청결해요,180,특별한 메뉴가 있어요,140,인테리어가 멋져요,122,재료가 신선해요,99,단체모임 하기 좋아요,97,https://m.place.naver.com/restaurant/1146797936/review/visitor
탐탐오향족발,음식이 맛있어요,144,친절해요,74,양이 많아요,36,재료가 신선해요,32,매장이 넓어요,23,특별한 메뉴가 있어요,21,단체모임 하기 좋아요,20,매장이 청결해요,14,가성비가 좋아요,12,고기 질이 좋아요,10,https://m.place.naver.com/restaurant/32745694/review/visitor
미쁘동,음식이 맛있어요,1040,친절해요,606,특별한 메뉴가 있어요,595,재료가 신선해요,462,매장이 청결해요,248,인테리어가 멋져요,163,혼밥하기 좋아요,119,특별한 날 가기 좋아요,115,양이 많아요,95,뷰가 좋아요,71,https://m.place.naver.com/restaurant/1685805793/review/visitor
하카타나카,음식이 맛있어요,315,특별한 메뉴가 있어요,146,혼밥하기 좋아요,116,친절해요,110,양이 많아요,98,재료가 신선해요,80,매장이 청결해요,65,가성비가 좋아요,29,화장실이 깨끗해요,26,인테리어가 멋져요,24,https://m.place.naver.com/restaurant/13160647/review/visitor
정소바,음식이 맛있어요,274,재료가 신선해요,167,친절해요,136,특별한 메뉴가 있어요,123,인테리어가 멋져요,109,매장이 청결해요,101,혼밥하기 좋아요,98,양이 많아요,65,가성비가 좋아요,40,특별한 날 가기 좋아요,14,https://m.place.naver.com/restaurant/1964274729/review/visitor
동동포차DDPC,음식이 맛있어요,89,친절해요,68,술이 다양해요,33,기본 안주가 좋아요,29,특별한 메뉴가 있어요,27,화장실이 깨끗해요,27,단체모임 하기 좋아요,26,인테리어가 멋져요,25,매장이 청결해요,22,대화하기 좋아요,22,https://m.place.naver.com/restaurant/1372736952/review/visitor
히메시야,음식이 맛있어요,251,혼밥하기 좋아요,100,친절해요,94,재료가 신선해요,68,특별한 메뉴가 있어요,43,가성비가 좋아요,40,양이 많아요,39,매장이 청결해요,28,인테리어가 멋져요,6,특별한 날 가기 좋아요,6,https://m.place.naver.com/restaurant/33626741/review/visitor
가메스시,음식이 맛있어요,90,재료가 신선해요,46,친절해요,31,혼밥하기 좋아요,30,가성비가 좋아요,28,매장이 청결해요,20,양이 많아요,17,특별한 메뉴가 있어요,10,인테리어가 멋져요,5,화장실이 깨끗해요,4,https://m.place.naver.com/restaurant/1092502636/review/visitor
쿄다이텐동,음식이 맛있어요,124,혼밥하기 좋아요,62,양이 많아요,60,친절해요,58,재료가 신선해요,48,매장이 청결해요,46,가성비가 좋아요,28,특별한 메뉴가 있어요,20,인테리어가 멋져요,14,화장실이 깨끗해요,7,https://m.place.naver.com/restaurant/1992606492/review/visitor
오비야,음식이 맛있어요,104,특별한 메뉴가 있어요,52,재료가 신선해요,30,양이 많아요,30,친절해요,25,혼밥하기 좋아요,17,매장이 청결해요,14,가성비가 좋아요,13,특별한 날 가기 좋아요,11,인테리어가 멋져요,9,https://m.place.naver.com/restaurant/13478975/review/visitor
오모테나시 오마카세,음식이 맛있어요,48,친절해요,38,재료가 신선해요,29,특별한 메뉴가 있어요,22,특별한 날 가기 좋아요,21,가성비가 좋아요,17,양이 많아요,12,매장이 청결해요,9,인테리어가 멋져요,7,술이 다양해요,5,https://m.place.naver.com/restaurant/36391644/review/visitor
올랑올랑,음식이 맛있어요,380,특별한 메뉴가 있어요,148,친절해요,135,재료가 신선해요,112,혼밥하기 좋아요,79,매장이 청결해요,68,양이 많아요,59,가성비가 좋아요,48,인테리어가 멋져요,44,특별한 날 가기 좋아요,37,https://m.place.naver.com/restaurant/1179975511/review/visitor
이자카야무세이,음식이 맛있어요,109,친절해요,56,대화하기 좋아요,35,특별한 메뉴가 있어요,25,술이 다양해요,22,가성비가 좋아요,21,기본 안주가 좋아요,21,음악이 좋아요,19,인테리어가 멋져요,15,매장이 청결해요,13,https://m.place.naver.com/restaurant/18361327/review/visitor
카시와,음식이 맛있어요,160,특별한 날 가기 좋아요,130,특별한 메뉴가 있어요,115,재료가 신선해요,113,친절해요,110,매장이 청결해요,82,인테리어가 멋져요,64,가성비가 좋아요,37,양이 많아요,15,화장실이 깨끗해요,14,https://m.place.naver.com/restaurant/1611991924/review/visitor
참치가,음식이 맛있어요,96,친절해요,59,재료가 신선해요,47,단체모임 하기 좋아요,44,매장이 넓어요,39,가성비가 좋아요,36,매장이 청결해요,30,양이 많아요,27,주차하기 편해요,19,특별한 메뉴가 있어요,19,https://m.place.naver.com/restaurant/293515740/review/visitor
